PSM	H18S	0.090	1.3400	HAL3
PSM	H18T	0.090	1.3400	HAL3
PSM	H18U	0.090	1.3400	HAL3
PSM	C1F	0.550	2.000000	C
PSM	OF	-0.600	1.700000	O
PSM	C2F	-0.070	2.010	CTL2
PSM	H2F	0.060	1.3400	HAL2
PSM	H2G	0.060	1.3400	HAL2
PSM	C3F	-0.180	2.010	CTL2
PSM	H3F	0.090	1.3400	HAL2
PSM	H3G	0.090	1.3400	HAL2
PSM	C4F	-0.180	2.010	CTL2
PSM	H4F	0.090	1.3400	HAL2
PSM	H4G	0.090	1.3400	HAL2
PSM	C5F	-0.180	2.010	CTL2
PSM	H5F	0.090	1.3400	HAL2
PSM	H5G	0.090	1.3400	HAL2
PSM	C6F	-0.180	2.010	CTL2
PSM	H6F	0.090	1.3400	HAL2
PSM	H6G	0.090	1.3400	HAL2
PSM	C7F	-0.180	2.010	CTL2
PSM	H7F	0.090	1.3400	HAL2
PSM	H7G	0.090	1.3400	HAL2
PSM	C8F	-0.180	2.010	CTL2
PSM	H8F	0.090	1.3400	HAL2
PSM	H8G	0.090	1.3400	HAL2
PSM	C9F	-0.180	2.010	CTL2
PSM	H9F	0.090	1.3400	HAL2
PSM	H9G	0.090	1.3400	HAL2
PSM	C10F	-0.180	2.010	CTL2
PSM	H10F	0.090	1.3400	HAL2
PSM	H10G	0.090	1.3400	HAL2
PSM	C11F	-0.180	2.010	CTL2
PSM	H11F	0.090	1.3400	HAL2
PSM	H11G	0.090	1.3400	HAL2
PSM	C12F	-0.180	2.010	CTL2
PSM	H12F	0.090	1.3400	HAL2
PSM	H12G	0.090	1.3400	HAL2
PSM	C13F	-0.180	2.010	CTL2
PSM	H13F	0.090	1.3400	HAL2
PSM	H13G	0.090	1.3400	HAL2
PSM	C14F	-0.180	2.010	CTL2
PSM	H14F	0.090	1.3400	HAL2
PSM	H14G	0.090	1.3400	HAL2
PSM	C15F	-0.180	2.010	CTL2
PSM	H15F	0.090	1.3400	HAL2
PSM	H15G	0.090	1.3400	HAL2
PSM	C16F	-0.270	2.040	CTL3
PSM	H16F	0.090	1.3400	HAL3
PSM	H16G	0.090	1.3400	HAL3
PSM	H16H	0.090	1.3400	HAL3
CHL1	C3	0.140	2.010	CRL1
CHL1	O3	-0.660	1.77	OHL
CHL1	H3'	0.430	0.2245	HOL
CHL1	H3	0.090	1.340	HGA1
CHL1	C4	-0.180	2.020	CRL2
CHL1	H4A	0.090	1.340	HGA2
CHL1	H4B	0.090	1.340	HGA2
CHL1	C5	0.000	2.09	CEL1
CHL1	C6	-0.150	2.09	CEL1
CHL1	H6	0.150	1.25	HEL1
CHL1	C7	-0.180	2.020	CRL2
CHL1	H7A	0.090	1.340	HGA2
CHL1	H7B	0.090	1.340	HGA2
CHL1	C8	-0.090	2.010	CRL1
CHL1	H8	0.090	1.340	HGA1
CHL1	C14	-0.090	2.010	CRL1
CHL1	H14	0.090	1.340	HGA1
CHL1	C15	-0.180	2.020	CRL2
CHL1	H15A	0.090	1.340	HGA2
CHL1	H15B	0.090	1.340	HGA2
CHL1	C16	-0.180	2.020	CRL2
CHL1	H16A	0.090	1.340	HGA2
CHL1	H16B	0.090	1.340	HGA2
CHL1	C17	-0.090	2.010	CRL1
CHL1	H17	0.090	1.340	HGA1
CHL1	C13	0.000	2.010	CRL1
CHL1	C18	-0.270	2.040	CTL3
CHL1	H18A	0.090	1.3400	HAL3
CHL1	H18B	0.090	1.3400	HAL3
CHL1	H18C	0.090	1.3400	HAL3
CHL1	C12	-0.180	2.020	CRL2
CHL1	H12A	0.090	1.340	HGA2
CHL1	H12B	0.090	1.340	HGA2
CHL1	C11	-0.180	2.020	CRL2
CHL1	H11A	0.090	1.340	HGA2
CHL1	H11B	0.090	1.340	HGA2
CHL1	C9	-0.090	2.010	CRL1
CHL1	H9	0.090	1.340	HGA1
CHL1	C10	0.000	2.010	CRL1
CHL1	C19	-0.270	2.040	CTL3
CHL1	H19A	0.090	1.3400	HAL3
CHL1	H19B	0.090	1.3400	HAL3
CHL1	H19C	0.090	1.3400	HAL3
CHL1	C1	-0.180	2.020	CRL2
CHL1	H1A	0.090	1.340	HGA2
CHL1	H1B	0.090	1.340	HGA2
CHL1	C2	-0.180	2.020	CRL2
CHL1	H2A	0.090	1.340	HGA2
CHL1	H2B	0.090	1.340	HGA2
CHL1	C20	-0.090	2.275	CTL1
CHL1	H20	0.090	1.3200	HAL1
CHL1	C21	-0.270	2.040	CTL3
CHL1	H21A	0.090	1.3400	HAL3
CHL1	H21B	0.090	1.3400	HAL3
CHL1	H21C	0.090	1.3400	HAL3
CHL1	C22	-0.180	2.010	CTL2
CHL1	H22A	0.090	1.3400	HAL2
CHL1	H22B	0.090	1.3400	HAL2
CHL1	C23	-0.180	2.010	CTL2
CHL1	H23A	0.090	1.3400	HAL2
CHL1	H23B	0.090	1.3400	HAL2
CHL1	C24	-0.180	2.010	CTL2
CHL1	H24A	0.090	1.3400	HAL2
CHL1	H24B	0.090	1.3400	HAL2
CHL1	C25	-0.090	2.275	CTL1
CHL1	H25	0.090	1.3200	HAL1
CHL1	C26	-0.270	2.040	CTL3
CHL1	H26A	0.090	1.3400	HAL3
CHL1	H26B	0.090	1.3400	HAL3
CHL1	H26C	0.090	1.3400	HAL3
CHL1	C27	-0.270	2.040	CTL3
CHL1	H27A	0.090	1.3400	HAL3
CHL1	H27B	0.090	1.3400	HAL3
CHL1	H27C	0.090	1.3400	HAL3
DOPC	N	-0.600	1.85	NTL
DOPC	C12	-0.100	2.010	CTL2
DOPC	C13	-0.350	2.06	CTL5
DOPC	C14	-0.350	2.06	CTL5
DOPC	C15	-0.350	2.06	CTL5
DOPC	H12A	0.250	0.7	HL
DOPC	H12B	0.250	0.7	HL
DOPC	H13A	0.250	0.7	HL
DOPC	H13B	0.250	0.7	HL
DOPC	H13C	0.250	0.7	HL
DOPC	H14A	0.250	0.7	HL
DOPC	H14B	0.250	0.7	HL
DOPC	H14C	0.250	0.7	HL
DOPC	H15A	0.250	0.7	HL
DOPC	H15B	0.250	0.7	HL
DOPC	H15C	0.250	0.7	HL
DOPC	C11	-0.080	2.010	CTL2
DOPC	H11A	0.090	1.3400	HAL2
DOPC	H11B	0.090	1.3400	HAL2
DOPC	P	1.500	2.15	PL
DOPC	O13	-0.780	1.70	O2L
DOPC	O14	-0.780	1.70	O2L
DOPC	O12	-0.570	1.6500	OSLP
DOPC	O11	-0.570	1.6500	OSLP
DOPC	C1	-0.080	2.010	CTL2
